substance_a_id,substance_b_id,pair_key,origin,interaction_code,interaction_label,risk_scale,summary,confidence,mechanism,mechanism_category,timing,evidence_gaps,evidence_tier,field_notes,sources,source_refs,source_fingerprint
nn_dmt,lamotrigine,lamotrigine|nn_dmt,fallback,LOW_MOD,"Low Risk, Effect Modulation",2,"Lamotrigine currently looks substantially lower-risk than lithium with classic psychedelics, with mostly observational evidence of minimal effect modulation.",low,"Lamotrigine is anticonvulsant and not strongly serotonergic, so expectations center on mild effect modulation rather than toxic synergy.",unknown,,,observational report analysis,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
nn_dmt,ketamine,ketamine|nn_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
nn_dmt,clonidine_guanfacine,clonidine_guanfacine|nn_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
nn_dmt,beta_blockers_ccb,beta_blockers_ccb|nn_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,five_meo_dmt,five_meo_dmt|five_meo_dmt,self,SELF,Same Entity / N-A,-1,Same entity selected; this is not an interaction pair.,n/a,,unknown,,,,,n/a,not_available,b5b0768226f40e6af798930d183da3215b33a06828f62399ea2303cb27fee6c5
five_meo_dmt,mescaline_peyote,five_meo_dmt|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,yopo,five_meo_dmt|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,lsd,five_meo_dmt|lsd,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,salvia,five_meo_dmt|salvia,fallback,CAU,Caution / Moderate Risk,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",low,"Salvinorin A is a kappa-opioid agonist rather than a classic serotonergic psychedelic. The overlap is at autonomic activation and severe state disruption, not receptor-level serotonin toxicity.",serotonergic,,"Formal combination studies are absent, so this remains a precautionary field rule.",mechanistic inference + salvia risk literature,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
five_meo_dmt,belladonna,belladonna|five_meo_dmt,fallback,DAN,Dangerous / Contraindicated,5,Tropane-rich deliriants such as belladonna and Brugmansia should be treated as contraindicated with psychedelics because anticholinergic toxidrome and psychedelic disorganization are a dangerous mix.,medium,"Belladonna and Brugmansia contain atropine-, scopolamine-, and hyoscyamine-like alkaloids that can produce tachycardia, hyperthermia, delirium, urinary retention, arrhythmia, and profound confusion. Combining that with serotonergic psychedelic effects is a worst-case operational scenario.",unknown,,"Controlled co-use studies are effectively impossible, so toxicology cases and ethnographic caution will remain the evidence base.",toxicology case literature + ethnographic caution,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
five_meo_dmt,brugmansia,brugmansia|five_meo_dmt,fallback,DAN,Dangerous / Contraindicated,5,Tropane-rich deliriants such as belladonna and Brugmansia should be treated as contraindicated with psychedelics because anticholinergic toxidrome and psychedelic disorganization are a dangerous mix.,medium,"Belladonna and Brugmansia contain atropine-, scopolamine-, and hyoscyamine-like alkaloids that can produce tachycardia, hyperthermia, delirium, urinary retention, arrhythmia, and profound confusion. Combining that with serotonergic psychedelic effects is a worst-case operational scenario.",unknown,,"Controlled co-use studies are effectively impossible, so toxicology cases and ethnographic caution will remain the evidence base.",toxicology case literature + ethnographic caution,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
five_meo_dmt,kambo,five_meo_dmt|kambo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,tobacco_rape,five_meo_dmt|tobacco_rape,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,cannabis,cannabis|five_meo_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,alcohol,alcohol|five_meo_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,ssri,five_meo_dmt|ssri,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,snri,five_meo_dmt|snri,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,tricyclic_ad,five_meo_dmt|tricyclic_ad,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,maoi_pharma,five_meo_dmt|maoi_pharma,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,atypical_ad,atypical_ad|five_meo_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,ndri_bupropion,five_meo_dmt|ndri_bupropion,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,amphetamine_stims,amphetamine_stims|five_meo_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,methylphenidate,five_meo_dmt|methylphenidate,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,cocaine,cocaine|five_meo_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,mdma_2cx_dox_nbome,five_meo_dmt|mdma_2cx_dox_nbome,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,serotonergic_opioids,five_meo_dmt|serotonergic_opioids,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,antipsychotics,antipsychotics|five_meo_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,antihypertensives,antihypertensives|five_meo_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,benzodiazepines,benzodiazepines|five_meo_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,lithium,five_meo_dmt|lithium,fallback,DAN,Dangerous / Contraindicated,5,Lithium should be treated as contraindicated with classic psychedelics because published observational data show a disproportionate seizure signal.,medium,"The exact mechanism is unresolved, but lithium appears to interact with classic psychedelic states in a way that meaningfully raises seizure and severe adverse-reaction concern.",unknown,,"The evidence base is observational rather than controlled, but the signal is strong enough to warrant a contraindication.",observational report analysis + harm-reduction consensus,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
five_meo_dmt,lamotrigine,five_meo_dmt|lamotrigine,fallback,LOW_MOD,"Low Risk, Effect Modulation",2,"Lamotrigine currently looks substantially lower-risk than lithium with classic psychedelics, with mostly observational evidence of minimal effect modulation.",low,"Lamotrigine is anticonvulsant and not strongly serotonergic, so expectations center on mild effect modulation rather than toxic synergy.",unknown,,,observational report analysis,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
five_meo_dmt,ketamine,five_meo_dmt|ketamine,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,clonidine_guanfacine,clonidine_guanfacine|five_meo_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
five_meo_dmt,beta_blockers_ccb,beta_blockers_ccb|five_meo_dmt,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,mescaline_peyote,mescaline_peyote|mescaline_peyote,self,SELF,Same Entity / N-A,-1,Same entity selected; this is not an interaction pair.,n/a,,unknown,,,,,n/a,not_available,b5b0768226f40e6af798930d183da3215b33a06828f62399ea2303cb27fee6c5
mescaline_peyote,yopo,mescaline_peyote|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,lsd,lsd|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,salvia,mescaline_peyote|salvia,fallback,CAU,Caution / Moderate Risk,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",low,"Salvinorin A is a kappa-opioid agonist rather than a classic serotonergic psychedelic. The overlap is at autonomic activation and severe state disruption, not receptor-level serotonin toxicity.",serotonergic,,"Formal combination studies are absent, so this remains a precautionary field rule.",mechanistic inference + salvia risk literature,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
mescaline_peyote,belladonna,belladonna|mescaline_peyote,fallback,DAN,Dangerous / Contraindicated,5,Tropane-rich deliriants such as belladonna and Brugmansia should be treated as contraindicated with psychedelics because anticholinergic toxidrome and psychedelic disorganization are a dangerous mix.,medium,"Belladonna and Brugmansia contain atropine-, scopolamine-, and hyoscyamine-like alkaloids that can produce tachycardia, hyperthermia, delirium, urinary retention, arrhythmia, and profound confusion. Combining that with serotonergic psychedelic effects is a worst-case operational scenario.",unknown,,"Controlled co-use studies are effectively impossible, so toxicology cases and ethnographic caution will remain the evidence base.",toxicology case literature + ethnographic caution,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
mescaline_peyote,brugmansia,brugmansia|mescaline_peyote,fallback,DAN,Dangerous / Contraindicated,5,Tropane-rich deliriants such as belladonna and Brugmansia should be treated as contraindicated with psychedelics because anticholinergic toxidrome and psychedelic disorganization are a dangerous mix.,medium,"Belladonna and Brugmansia contain atropine-, scopolamine-, and hyoscyamine-like alkaloids that can produce tachycardia, hyperthermia, delirium, urinary retention, arrhythmia, and profound confusion. Combining that with serotonergic psychedelic effects is a worst-case operational scenario.",unknown,,"Controlled co-use studies are effectively impossible, so toxicology cases and ethnographic caution will remain the evidence base.",toxicology case literature + ethnographic caution,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
mescaline_peyote,kambo,kambo|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,tobacco_rape,mescaline_peyote|tobacco_rape,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,cannabis,cannabis|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,alcohol,alcohol|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,ssri,mescaline_peyote|ssri,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,snri,mescaline_peyote|snri,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,tricyclic_ad,mescaline_peyote|tricyclic_ad,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,maoi_pharma,maoi_pharma|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,atypical_ad,atypical_ad|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,ndri_bupropion,mescaline_peyote|ndri_bupropion,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,amphetamine_stims,amphetamine_stims|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,methylphenidate,mescaline_peyote|methylphenidate,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,cocaine,cocaine|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,mdma_2cx_dox_nbome,mdma_2cx_dox_nbome|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,serotonergic_opioids,mescaline_peyote|serotonergic_opioids,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,antipsychotics,antipsychotics|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,antihypertensives,antihypertensives|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,benzodiazepines,benzodiazepines|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,lithium,lithium|mescaline_peyote,fallback,DAN,Dangerous / Contraindicated,5,Lithium should be treated as contraindicated with classic psychedelics because published observational data show a disproportionate seizure signal.,medium,"The exact mechanism is unresolved, but lithium appears to interact with classic psychedelic states in a way that meaningfully raises seizure and severe adverse-reaction concern.",unknown,,"The evidence base is observational rather than controlled, but the signal is strong enough to warrant a contraindication.",observational report analysis + harm-reduction consensus,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
mescaline_peyote,lamotrigine,lamotrigine|mescaline_peyote,fallback,LOW_MOD,"Low Risk, Effect Modulation",2,"Lamotrigine currently looks substantially lower-risk than lithium with classic psychedelics, with mostly observational evidence of minimal effect modulation.",low,"Lamotrigine is anticonvulsant and not strongly serotonergic, so expectations center on mild effect modulation rather than toxic synergy.",unknown,,,observational report analysis,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
mescaline_peyote,ketamine,ketamine|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,clonidine_guanfacine,clonidine_guanfacine|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
mescaline_peyote,beta_blockers_ccb,beta_blockers_ccb|mescaline_peyote,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
yopo,yopo,yopo|yopo,self,SELF,Same Entity / N-A,-1,Same entity selected; this is not an interaction pair.,n/a,,unknown,,,,,n/a,not_available,b5b0768226f40e6af798930d183da3215b33a06828f62399ea2303cb27fee6c5
yopo,lsd,lsd|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
yopo,salvia,salvia|yopo,fallback,CAU,Caution / Moderate Risk,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",low,"Salvinorin A is a kappa-opioid agonist rather than a classic serotonergic psychedelic. The overlap is at autonomic activation and severe state disruption, not receptor-level serotonin toxicity.",serotonergic,,"Formal combination studies are absent, so this remains a precautionary field rule.",mechanistic inference + salvia risk literature,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
yopo,belladonna,belladonna|yopo,fallback,DAN,Dangerous / Contraindicated,5,Tropane-rich deliriants such as belladonna and Brugmansia should be treated as contraindicated with psychedelics because anticholinergic toxidrome and psychedelic disorganization are a dangerous mix.,medium,"Belladonna and Brugmansia contain atropine-, scopolamine-, and hyoscyamine-like alkaloids that can produce tachycardia, hyperthermia, delirium, urinary retention, arrhythmia, and profound confusion. Combining that with serotonergic psychedelic effects is a worst-case operational scenario.",unknown,,"Controlled co-use studies are effectively impossible, so toxicology cases and ethnographic caution will remain the evidence base.",toxicology case literature + ethnographic caution,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
yopo,brugmansia,brugmansia|yopo,fallback,DAN,Dangerous / Contraindicated,5,Tropane-rich deliriants such as belladonna and Brugmansia should be treated as contraindicated with psychedelics because anticholinergic toxidrome and psychedelic disorganization are a dangerous mix.,medium,"Belladonna and Brugmansia contain atropine-, scopolamine-, and hyoscyamine-like alkaloids that can produce tachycardia, hyperthermia, delirium, urinary retention, arrhythmia, and profound confusion. Combining that with serotonergic psychedelic effects is a worst-case operational scenario.",unknown,,"Controlled co-use studies are effectively impossible, so toxicology cases and ethnographic caution will remain the evidence base.",toxicology case literature + ethnographic caution,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
yopo,kambo,kambo|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
yopo,tobacco_rape,tobacco_rape|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
yopo,cannabis,cannabis|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
yopo,alcohol,alcohol|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
yopo,ssri,ssri|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
yopo,snri,snri|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
yopo,tricyclic_ad,tricyclic_ad|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
yopo,maoi_pharma,maoi_pharma|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
yopo,atypical_ad,atypical_ad|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
